,coords,category,lat,long,address
139,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
140,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
141,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
142,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
143,122.890266/11.477714,Medical Response,122.890266,11.477714,"Manapao, Capiz, Western Visayas, 5803, Pilipinas / Philippines"
144,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
145,122.650482/10.84919,Food & Clothes,122.650482,10.84919,"Pelobello store, Banga Bante-Banga-Polot-an-Barotac Nuevo Road, Zarraga, Iloilo, Western Visayas, 5004, Pilipinas / Philippines"
146,122.579987/11.24989,Medical Response,122.579987,11.24989,"Jeriff Fara-on’s Residence, Old Iloilo-Capiz Road, San Miguel, Tapaz, Capiz, Western Visayas, 5041, Pilipinas / Philippines"
147,125.149437/10.62223,Medical Response,125.149437,10.62223,"Bagacay - Bulak Road, Bito, Bagacay, Abuyog, Leyte 5th District, Leyte, Eastern Visayas, 6510, Pilipinas / Philippines"
148,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
149,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
150,125.149437/10.62223,Medical Response,125.149437,10.62223,"Bagacay - Bulak Road, Bito, Bagacay, Abuyog, Leyte 5th District, Leyte, Eastern Visayas, 6510, Pilipinas / Philippines"
151,125.149437/10.62223,Medical Response,125.149437,10.62223,"Bagacay - Bulak Road, Bito, Bagacay, Abuyog, Leyte 5th District, Leyte, Eastern Visayas, 6510, Pilipinas / Philippines"
152,123.10968/11.13913,Medical Response,123.10968,11.13913,"Day Care Center, Silagon, Ajuy, Iloilo, Western Visayas, 5012, Pilipinas / Philippines"
153,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
154,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
155,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
156,122.650482/10.84919,Medical Response,122.650482,10.84919,"Pelobello store, Banga Bante-Banga-Polot-an-Barotac Nuevo Road, Zarraga, Iloilo, Western Visayas, 5004, Pilipinas / Philippines"
